"1000","-42"
"999","-59"
"998","-33"
"997","-81"
"996","-9"
"995","-18"
"994","-60"
"993","-68"
"992","-96"
"991","-27"
"990","-59"
"989","-8"
"988","-49"
"987","-24"
"986","-30"
"985","-23"
"984","-95"
"983","-76"
"982","-55"
"981","-70"
"980","-41"
"979","-65"
"978","-20"
"977","-44"
"976","-70"
"975","-92"
"974","-62"
"973","-11"
"972","-35"
"971","-43"
"970","-75"
"969","-3"
"968","-2"
"967","-93"
"966","-59"
"965","-10"
"964","-16"
"963","-1"
"962","-26"
"961","-20"
"960","-36"
"959","-88"
"958","-71"
"957","-3"
"956","-12"
"955","-15"
"954","-75"
"953","-31"
"952","-75"
"951","-42"
"950","-67"
"949","-96"
"948","-37"
"947","-75"
"946","-35"
"945","-4"
"944","-50"
"943","-55"
"942","-95"
"941","-74"
"940","-97"
"939","-22"
"938","-12"
"937","-49"
"936","-19"
"935","-37"
"934","-42"
"933","-17"
"932","-50"
"931","-90"
"930","-13"
"929","-27"
"928","-50"
"927","-87"
"926","-82"
"925","-76"
"924","-75"
"923","-9"
"922","-94"
"921","-53"
"920","-65"
"919","-10"
"918","-92"
"917","-35"
"916","-83"
"915","-3"
"914","-11"
"913","-82"
"912","-8"
"911","-12"
"910","-85"
"909","-58"
"908","-50"
"907","-55"
"906","-62"
"905","-30"
"904","-18"
"903","-4"
"902","-26"
"901","-78"
"900","-34"
"899","-92"
"898","-30"
"897","-49"
"896","-17"
"895","-72"
"894","-83"
"893","-87"
"892","-62"
"891","-30"
"890","-32"
"889","-96"
"888","-93"
"887","-68"
"886","-47"
"885","-89"
"884","-65"
"883","-82"
"882","-52"
"881","-97"
"880","-15"
"879","-23"
"878","-29"
"877","-64"
"876","-82"
"875","-25"
"874","-49"
"873","-3"
"872","-84"
"871","-68"
"870","-35"
"869","-28"
"868","-46"
"867","0"
"866","-45"
"865","-63"
"864","-27"
"863","-44"
"862","-30"
"861","-36"
"860","-31"
"859","-14"
"858","-92"
"857","-17"
"856","-12"
"855","-21"
"854","-79"
"853","-79"
"852","-9"
"851","-42"
"850","-69"
"849","-54"
"848","-65"
"847","-91"
"846","-1"
"845","-2"
"844","-69"
"843","-20"
"842","-58"
"841","-53"
"840","-29"
"839","-12"
"838","-74"
"837","-75"
"836","-66"
"835","-80"
"834","-44"
"833","-33"
"832","0"
"831","-74"
"830","-39"
"829","-5"
"828","-5"
"827","-99"
"826","-65"
"825","-43"
"824","-56"
"823","-73"
"822","-96"
"821","-60"
"820","-14"
"819","-19"
"818","-78"
"817","-27"
"816","-67"
"815","-41"
"814","-42"
"813","-2"
"812","-93"
"811","-27"
"810","-87"
"809","-56"
"808","-94"
"807","-99"
"806","-99"
"805","-3"
"804","-69"
"803","-91"
"802","-52"
"801","-24"
"800","-67"
"799","-22"
"798","-81"
"797","-13"
"796","-74"
"795","-32"
"794","-99"
"793","-48"
"792","-49"
"791","-6"
"790","-31"
"789","-21"
"788","-20"
"787","-29"
"786","-69"
"785","-67"
"784","-83"
"783","-12"
"782","-99"
"781","-96"
"780","-57"
"779","-97"
"778","-67"
"777","-33"
"776","-67"
"775","-59"
"774","-47"
"773","-99"
"772","-85"
"771","-96"
"770","-11"
"769","-36"
"768","-80"
"767","-74"
"766","-84"
"765","-39"
"764","-44"
"763","-64"
"762","-26"
"761","-99"
"760","-29"
"759","-12"
"758","-43"
"757","-28"
"756","-51"
"755","-81"
"754","-47"
"753","-34"
"752","-13"
"751","-12"
"750","-38"
"749","-29"
"748","-98"
"747","-86"
"746","-18"
"745","-22"
"744","-76"
"743","-22"
"742","-41"
"741","-95"
"740","-58"
"739","-82"
"738","-2"
"737","-57"
"736","-22"
"735","-61"
"734","-67"
"733","-67"
"732","-2"
"731","-82"
"730","-99"
"729","-84"
"728","-4"
"727","-63"
"726","-11"
"725","-73"
"724","-85"
"723","-30"
"722","-94"
"721","-17"
"720","-39"
"719","-12"
"718","-9"
"717","-28"
"716","-18"
"715","-21"
"714","-75"
"713","-59"
"712","-48"
"711","-51"
"710","-11"
"709","-12"
"708","-22"
"707","-82"
"706","-37"
"705","-53"
"704","-66"
"703","-77"
"702","-7"
"701","-96"
"700","-19"
"699","-30"
"698","-8"
"697","-24"
"696","-99"
"695","-78"
"694","-18"
"693","-48"
"692","-2"
"691","-47"
"690","-94"
"689","-62"
"688","-94"
"687","-6"
"686","-20"
"685","-25"
"684","-86"
"683","-16"
"682","-29"
"681","-36"
"680","-36"
"679","-53"
"678","-80"
"677","-82"
"676","-59"
"675","-64"
"674","-7"
"673","-89"
"672","-54"
"671","-51"
"670","-5"
"669","-17"
"668","-24"
"667","-17"
"666","-39"
"665","-30"
"664","-10"
"663","-75"
"662","-40"
"661","-37"
"660","-53"
"659","-15"
"658","-7"
"657","-45"
"656","-10"
"655","-45"
"654","-65"
"653","-87"
"652","-28"
"651","-72"
"650","-42"
"649","-4"
"648","-61"
"647","-36"
"646","-17"
"645","-67"
"644","-50"
"643","-53"
"642","-56"
"641","-95"
"640","-99"
"639","-82"
"638","-9"
"637","-54"
"636","-83"
"635","-95"
"634","-33"
"633","-43"
"632","-20"
"631","-23"
"630","-28"
"629","-90"
"628","-7"
